,FW_flat,SC_variable,max_ramp,solar_cf
t252,127.8,146.2,1457.81,0.7
t253,128.7,146.9,1449.68,0.7
t254,129.3,147.9,1457.52,0.7
t255,129.7,148.6,1462.78,0.7
t256,128.6,148.8,1467.38,0.7
t257,129.7,148.8,1470.33,0.48
t258,130.1,149,1478.26,0.48
t259,130.9,149,1487.99,0.48
t260,131.5,148.7,1490.47,0.48
t261,131.1,147.8,1485.49,0
t262,129.8,147.4,1481.24,0
t263,129.6,146.8,1475.05,0
t264,129.5,146,1468.36,0
t265,129.8,144.9,1451.23,0
t266,129.2,143.8,1438.1,0
t267,128.9,141.9,1421.65,0
t268,128.5,139.6,1405.76,0
t269,128.7,137.9,1387.66,0
t270,130.1,136.1,1376.86,0
t271,130.9,135.4,1375.31,0
t272,131,134.8,1362.16,0
t273,131,132.7,1341.97,0
t274,130.3,130.2,1329.97,0
t275,129.6,128.4,1306.4,0
t276,128.6,125.6,1275.76,0
t277,127.9,122.5,1248.83,0
t278,127.3,119.8,1220.37,0
t279,126.6,117.6,1193.75,0
t280,125.5,114.2,1167.74,0
t281,124.3,111.4,1134.99,0
t282,123.5,108.8,1110.12,0
t283,122.8,106.7,1074.86,0
t284,122.1,104.4,1047.47,0
t285,122.1,101.4,1022.79,0
t286,122,99.7,1001.65,0
t287,120.7,97.7,975.25,0
t288,120.4,95.1,958.21,0
t289,120.2,94.1,940.62,0
t290,120,92.4,919.31,0
t291,120.1,90.6,905.06,0
t292,119.6,89.4,886.78,0
t293,119.7,87.8,879.23,0
t294,119.5,86.7,868.51,0
t295,119.5,85.5,849.35,0
t296,119.9,84.1,841.19,0
t297,119.9,83.4,842.43,0
t298,119.3,82.6,834.29,0
t299,118.9,81.4,826.66,0
t300,119.1,81,826.03,0
t301,119.5,80.8,825.86,0
t302,120,80,819.29,0
t303,119.8,79.9,823.16,0
t304,119.5,79.7,825.2,0
t305,120.7,80.4,833.97,0
t306,121.5,81.4,844.27,0
t307,122.2,81.7,850.35,0
t308,123.9,82.2,861.81,0
t309,126.2,83.9,882.45,0
t310,128,85,886.62,0
t311,129.9,85.1,892.88,0
t312,130.9,85.1,904.52,0
t313,131.3,85.8,907.62,0
t314,131.5,85.5,916.13,0
t315,130.3,86.3,923.9,0
t316,129.1,87.6,927.84,0
t317,129,88.7,942.98,0
t318,128.7,90.4,952.1,0
t319,129.2,91.9,961.98,0
t320,129.5,93.3,977.04,0
t321,129.3,95.5,993.09,0.31
t322,128.9,97.4,1010.08,0.31
t323,128.8,99.3,1027.4,0.31
t324,128.7,101.4,1042.19,0.31
t325,128.2,103.5,1064.06,0.7
t326,127.9,105.8,1081.33,0.7
t327,128.1,108.2,1098.99,0.7
t328,127.9,110.1,1116.4,0.7
t329,127.9,112.1,1131.51,0.69
t330,128.1,115,1151.2,0.69
t331,127.8,117.1,1166.4,0.69
t332,127.9,118.4,1182.72,0.69
t333,127.5,121,1203.25,0.64
t334,127.2,123.2,1219.93,0.64
t335,126.9,124.8,1237.74,0.64
t336,126.4,127,1256.02,0.64
t337,126.2,128.8,1271.08,0.51
t338,126.3,130.5,1291,0.51
t339,126.4,132.3,1310.61,0.51
t340,126.4,133.3,1324.01,0.51
t341,126.5,134.7,1340.88,0.49
t342,126.6,136.2,1349.25,0.49
t343,126.7,137.1,1362.28,0.49
t344,126.8,138.7,1373.97,0.49
t345,126.6,140,1385.95,0.38
t346,126.9,140.5,1398.11,0.38
t347,126.7,141.9,1409.29,0.38
t348,126.9,142.9,1416.83,0.38
t349,126.9,143,1423.32,0.24
t350,126.6,144,1430.07,0.24
t351,126.9,144.5,1434.92,0.24
t352,127,144.4,1436.26,0.24
t353,126.8,144.5,1436.5,0.1
t354,126.8,144.5,1437.83,0.1
t355,126.8,144.7,1436.17,0.1
t356,126.4,144.5,1433.69,0.1
t357,126.1,143.2,1423.93,0
t358,125.9,143.2,1417.76,0
t359,125.9,142.4,1416.38,0
t360,125.9,141.5,1406.4,0
t361,125.9,140.2,1397.1,0
t362,126,138.1,1384.72,0
t363,125.6,136.8,1365.41,0
t364,123.8,135.4,1351.2,0
t365,125.6,133.1,1330.88,0
t366,124.5,131.5,1321.8,0
t367,128.1,131.1,1316.42,0
t368,128.3,129.8,1304.29,0
t369,128.1,127.9,1289.71,0
t370,127.7,125.8,1273.37,0
t371,127,123.1,1250.28,0
t372,126,120.7,1234.69,0
t373,124.7,118,1207.37,0
t374,124.1,114.9,1185.09,0
t375,123.3,112.5,1162.21,0
t376,122.6,109.6,1126.05,0
t377,121.4,106.7,1101.3,0
t378,120.9,104.5,1073.45,0
t379,120.3,101.2,1045.92,0
t380,119.5,99.2,1017.57,0
t381,118.9,96.9,988.03,0
t382,118.6,94.8,968.23,0
t383,118.7,92.5,951.85,0
t384,118.4,90.9,931.94,0
t385,118.1,89.4,912.5,0
t386,117.6,87.3,901.31,0
t387,117.3,86.1,887.7,0
t388,117.2,84.6,873.89,0
t389,116.9,83.2,861.9,0
t390,116.7,82.4,849.84,0
t391,116.6,81.5,835.87,0
t392,116.8,80.2,826.97,0
t393,116.9,79.8,824.16,0
t394,116.7,79.1,822.45,0
t395,116.7,77.9,810.9,0
t396,117,77.6,802.27,0
t397,117.5,77.2,806.78,0
t398,117.3,76.6,804.3,0
t399,117.3,76.8,802.21,0
t400,117.6,76.8,805.71,0
t401,118.8,77.7,815.48,0
t402,120,78.1,817.98,0
t403,121,78.3,824.79,0
t404,123.3,79.4,832.52,0
t405,126.4,81,849.37,0
t406,128.2,81.3,858.53,0
t407,130.1,81.8,864.34,0
t408,131.5,81.7,869.32,0
t409,132.2,82.1,876.57,0
t410,132,82.5,882.22,0
t411,130.6,83.1,892.77,0
t412,129.6,84.1,906.94,0
t413,128.6,86.5,928.51,0
t414,127.8,88.4,944.36,0
t415,127.8,89.8,950.61,0
t416,128,92.2,961.26,0
t417,129.1,94,977.24,0.08
t418,129.4,95.6,994.8,0.08
t419,129.3,98.4,1019.1,0.08
t420,129.4,100.8,1037.43,0.08
t421,129.2,103,1050.19,0.31
t422,129.8,105.4,1071.77,0.31
t423,129.9,108.2,1091.76,0.31
t424,129.8,110.6,1107.33,0.31
t425,129.9,113.2,1126.65,0.61
t426,130.5,115.6,1140.42,0.61
t427,130.9,117.2,1159.89,0.61
t428,130.7,119.8,1178.98,0.61
t429,130.1,121.9,1192.41,0.65
t430,130.8,123.6,1214.89,0.65
t431,131.2,125.9,1235.08,0.65
t432,131.9,127.8,1246.8,0.65
t433,131.4,129.2,1268.8,0.63
t434,131.1,131.6,1285.71,0.63
t435,131.8,133.3,1293.67,0.63
t436,131.3,134.5,1306.96,0.63
t437,132.7,135.8,1326.88,0.65
t438,132.6,137.2,1341.41,0.65
t439,132.4,138.6,1349.26,0.65
t440,132.6,140.5,1359.72,0.65
t441,132.8,141.5,1369.48,0.68
t442,133.1,143.1,1374.81,0.68
t443,133.5,144.3,1385.87,0.68
t444,133.6,144.5,1392.65,0.68
t445,133.6,145.6,1393.3,0.68
t446,133.8,146.6,1402.56,0.68
t447,134,146.5,1403.66,0.68
t448,133.1,147.1,1405.04,0.68
t449,132.6,147.1,1402.26,0.48
t450,132,146.9,1406.38,0.48
t451,131.6,146.9,1399.18,0.48
t452,130.9,146.2,1394.12,0.48
t453,130.5,145.5,1379.47,0
t454,130.1,144.8,1368.27,0
t455,130.2,143.3,1357.72,0
t456,129.8,142.7,1348.11,0
t457,128.7,141.1,1328.82,0
t458,128.7,138.8,1315.38,0
t459,129,137.6,1296.99,0
t460,128.9,135.5,1278.7,0
t461,130.8,133.1,1261.83,0
t462,132,131.9,1247.28,0
t463,131.9,131,1243.27,0
t464,131.3,129.7,1237.15,0
t465,131.6,128,1216.84,0
t466,130.5,125.9,1205.62,0
t467,130.3,124,1186.01,0
t468,130.1,121,1162.96,0
t469,128.2,118.6,1138.63,0
t470,128.3,116.4,1117.4,0
t471,127.7,114.6,1098.09,0
t472,126.7,112.9,1076.97,0
t473,125.6,110.4,1048.02,0
t474,124.5,108.4,1029.77,0
t475,123.8,106.1,1008.46,0
t476,123.4,104,987.04,0
t477,123.5,101.1,1018.72,0
t478,122.9,99.8,946.71,0
t479,122.6,97.8,929.41,0
t480,122.3,96.2,914.02,0
t481,121.9,94.1,890.89,0
t482,122,93.2,875.05,0
t483,121.5,91.4,861.1,0
t484,121.5,89.8,851,0
t485,121.7,89,841.99,0
t486,121.4,87.5,827.4,0
t487,121.2,86.4,822.95,0
t488,121.2,85.1,811.74,0
t489,121.1,84.3,805.69,0
t490,121,83.6,799.95,0
t491,121.1,83,789.3,0
t492,121.2,81.7,787.02,0
t493,121.2,80.7,782.49,0
t494,121.5,80.7,775.85,0
t495,121.7,80.4,775.95,0
t496,122,79.5,771.52,0
t497,122.5,79.9,774.23,0
t498,123.2,79.9,776.6,0
t499,123.7,79.5,775.73,0
t500,124.3,79.9,776.64,0
t501,125.6,80.3,779.66,0
t502,126.9,80.3,785.11,0
t503,128.3,80.6,776.59,0
t504,129.8,80.1,782.26,0
t505,131.1,80.1,792.03,0
t506,131.3,81.1,797.43,0
